state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
OR,1994,38334707296,0,312202980,28358840,0,95930447934,0,38440812,0
PA,1994,1018675905824309,0,2749785843069,4079764972163,67206815,1428098710523,0,184078701,0
RI,1994,85347,0,93490,45606791862,0,756830,0,4732920,0
SC,1994,27741115240744,0,3034952620856,36370017368,44466176,554311639098,0,76942522,0
SD,1994,283333220731,0,51287600,84370,0,0,0,7991260,0
TN,1994,53708548312128,0,12027959592981,3042783030,11932352,66458461509,0,78334957,0
TX,1994,1251456571959891,0,15304360,1444405683539454,28745474,3882731190218,293,307179524,0
US-TOTAL,1994,1690693864105900983,15535453,2601257333377825,46021868213319051,640439832,1912859537937364,486622,3247522388,3447109
UT,1994,3313066433100,194804,7504380,807259280569,0,0,0,35196834,0
VA,1994,265906552890191,0,1146116742235,46811390,25428856,6552921395608,11,62048924,0
VT,1994,6354,0,10386530,58060,4315544,250673,0,5617030,0
WA,1994,983133245419,0,655754870,4820582299161,6739749,2248041018660,0,88586476,0
WI,1994,36479019429663,0,22283090,6046550,11516469,208344892496,0,52358955,0
WV,1994,79628566271890,0,11456350,170539212708,0,0,0,81429542,0
WY,1994,4157423953571,0,8972090,4008563224,0,18440,0,43002285,0
AK,1995,528930620564,0,13721150,33795730,0,13589111345,0,6026116,0
AL,1995,69047634201538,0,95015100,1533384347027,20752341,74973798435,0,105189366,0
AR,1995,2155543667654,0,32177140,39093500,11657549,232521537482,0,41972088,0
AZ,1995,3195165982557,0,8288419190029,21929470,26984507,90821,0,69780939,0
CA,1995,27868442291128,11450299,480331302506665,725788932594985,30245936,27578562618487,496565,181463341,3086757
CO,1995,3049268211712,0,213118991953,28567880,0,329100,0,35617234,0
CT,1995,38575553579463,0,36380312414,301924379,18748900,19158390,0,31472468,0
DC,1995,188862,0,0,0,0,0,0,188862,0
DE,1995,44389741285195,0,0,3185559113827,0,0,0,9032837,0
FL,1995,6576184122287501,0,2308400,4275515031478,28740617,33398822240076,0,167414372,0
GA,1995,66942360849860,0,4196741537462,14598840,30660626,681943163469,0,107878596,0
HI,1995,15612047678995,234521,978100,69307,0,6385251145,0,10303983,20357
IA,1995,2940970465861,0,10029740,4798890,3729970,64135278,0,34752928,117
ID,1995,47527564,0,109893340,1672920,0,12987536621,0,11844605,0
IL,1995,64415830922504,0,1239360,3974378396906,78480848,3413272202,0,148657931,0
IN,1995,104688066342621,0,4672610,14535632120995,0,843400,0,109156846,0
KS,1995,2589695975864,0,112140,23744650,10062177,0,0,38420705,26
KY,1995,82539467130598,0,34234780,680350,0,4258,0,86165836,0
LA,1995,189894741486214,0,9521440,43217747982181,15685900,1022372543179,0,84559724,0
MA,1995,106982636151495,0,868649806203,142350100,4485845,1885794135628,0,37654481,0
MD,1995,275952561479469,0,14420060,1548884685721,12937971,501192175144,0,46365643,0
ME,1995,5405912032232,0,33539120,72195290,197577,5627053063525,0,9763051,0
MI,1995,67200645855254,0,1597186731820,115748541430,24448397,6815371801843,0,107444612,0
MN,1995,28063939494826,0,10981250,10304070,13243469,713775469346,0,45170884,56997
MO,1995,53860420696261,0,191850764981,10434400,8241833,254780,0,65720958,0
MS,1995,932495237780,0,0,97211700,8013321,8471882791,0,28980861,0
MT,1995,14934147168054,0,107458530,487388678,0,55844,0,25961314,0
NC,1995,61484998479618,0,5520810167317,7716880,35910195,547791646121,0,106294656,0
ND,1995,2642387157691,0,24574010,34843673,0,219590,0,29004247,0
NE,1995,1610441926679,0,14260580,2454280,7485448,162680,0,25304300,0
NH,1995,33674881064756,0,13698900,2013040,8379376,175308876257,0,15434379,0
NJ,1995,71659801722288,0,1095594532,1820252164073,16805517,12218560,0,45098658,0
NM,1995,2612144727746,0,2639200,34089930,0,90530,0,29831159,0
NV,1995,1397182426553,1553696,19415340,64437530,0,0,0,23963994,0
NY,1995,222889138268290,0,259931971162013,4905650696673,26336172,1969440566103,0,133413281,0
OH,1995,120629428330064,0,2322210,724821139069,16768050,21860498389,0,139343902,0
OK,1995,3278506298685,0,277992064663,1671550765000,0,1658286198,0,52667367,0
OR,1995,15524915027,0,407644650,23534750,0,79600510495,0,45265553,0
PA,1995,1063346473647599,0,20302071240153,4926183781665,66461535,1649492814856,0,185451311,0
RI,1995,77073,0,91690,43222420,0,797290,0,4488213,0
SC,1995,26337190257440,0,3457143657895,6898829254,49173476,673681579790,0,80913648,0
SD,1995,272129517488,0,60098710,631390,0,0,0,8811793,0
TN,1995,59475004257385,0,9628551615489,47509511062,15708421,58704574039,0,85730835,0
TX,1995,1247169481607795,0,17033480,1469787084276154,36151325,747601337392,253,317636246,0
US-TOTAL,1995,170942646874554065,13378258,3108327482725131,49605794513869951,673402123,2040497136521082,496821,3353487362,3164253
UT,1995,3061106335934,139742,9687430,791212260694,0,0,0,32807388,0
VA,1995,284970651600679,0,995026768394,54318450,25134831,6988331400767,3,62996021,0
VT,1995,13484,0,9726570,65930,3858509,308819,0,5160062,0
WA,1995,5902945178915,0,825001530,4889604550836,6941878,1972881035788,0,102197586,0
WI,1995,38093434385164,0,23784720,10086040,10969606,233121854146,0,53923131,0
WV,1995,78714219212778,0,11926790,212874204663,0,0,0,80537427,0
WY,1995,3899637570305,0,7985030,3224509230,0,0,0,40251609,0
AK,1996,428736770676,0,12658630,35487180,0,11985102914,0,6128892,0
AL,1996,74091485315378,0,110819210,1884239307056,29707535,72864078011,0,121472911,0
AR,1996,24388417113957,0,27969660,37937340,13356671,211211562697,0,46033563,0
AZ,1996,3103254169810,0,9214356265397,21563820,28839587,76745,0,71654818,0
CA,1996,25287862832968,12340104,447513432194436,644141793216924,34096860,23211582938298,520945,175263204,3078924
CO,1996,3218618118155,0,1820368120092,31996640,0,330840,0,37137360,0
CT,1996,39423345395345,0,625923387,194924364,6225233,20728690,0,20211398,0
DC,1996,109809,0,0,0,0,0,0,109809,0
DE,1996,44107641569077,0,0,2716813157795,0,0,0,8854449,0
FL,1996,7085678923384513,0,2155600,3923468529306,25470291,34311632417688,0,167084936,0
GA,1996,642359661025888,0,4678960310102,1018978124,29925001,1017713023251,0,104320041,0
HI,1996,16431037963117,241985,1040320,60365,0,591765999,0,10627894,22528
IA,1996,2934295067405,0,9353330,3494670,3923631,68760961,0,34688615,108
ID,1996,300621284,0,132832480,1678500,0,3683508077,0,14089808,0
IL,1996,73348075829763,0,1055890,2813768399493,69774356,4594142571,0,147733029,0
IN,1996,105449025601030,0,4483640,12461752053362,0,1041460,0,109902102,0
KS,1996,29742722159494,0,109690,18241030,8204868,0,0,39942156,0
KY,1996,84659818135437,0,34969890,1459800,0,9272,0,88447496,0
LA,1996,187010341703448,0,9639240,36564775844588,15764823,960392807723,0,77739896,0
MA,1996,115807716516883,0,1188625657967,119295080,5324341,1933966137882,0,37954020,0
MD,1996,279920051472027,0,24574630,987627539335,12092768,565838167554,0,46274617,0
ME,1996,5095221660854,0,41573940,32305541,5062017,5614492974365,0,14934373,0
MI,1996,67872152832749,0,1783531820336,13014616238416,26829363,9075481845188,0,112518309,0
MN,1996,28422604651744,0,11871140,7866700,12095122,697685437562,0,44328439,49938
MO,1996,57418252111207,0,131373875025,4281650,8890377,358140,0,68122528,0
MS,1996,120588951194929,0,0,71752050,9224593,19191621741,0,31277282,0
MT,1996,12462506444948,0,137949310,5524927066,0,52725,0,26837425,0
NC,1996,69331348547831,0,5952177340406,4701380,33718182,559071532342,0,112197741,0
ND,1996,27603396102021,0,31508730,35143970,0,78790,0,30908490,0
NE,1996,1606700219973,0,16019190,1938670,9456814,115340,0,27351109,0
NH,1996,3309695895744,0,19192050,20990,9844744,181397910765,0,17063649,0
NJ,1996,78316941241111,0,19033114233,16534483163374,11027886,10132350,0,37716583,0
NM,1996,2635717927397,0,2114990,35553410,0,98740,0,30161290,0
NV,1996,1465686895980,1554683,21644670,70832560,0,0,0,25580408,0
NY,1996,226717899716598,0,289512501145989,37449378105707,35225806,2144488613222,0,135732249,0
OH,1996,128640943303872,0,3973540,410269176515,13919390,5829583042,0,144437214,0
OK,1996,34654531140206,0,215777579594,1467168660423,0,1788242805,0,51849620,0
OR,1996,17451747957,0,449064580,38107270,0,63514477944,0,51011774,0
PA,1996,1111997063591002,0,3012078922518,3093102748213,68672038,1749213676321,0,191872623,0
RI,1996,137563,0,103670,74778650,0,942410,0,7720036,0
SC,1996,30863316279207,0,3041064754982,19632618533,43571032,778341472719,0,78768552,0
SD,1996,20299018975,0,79776700,497280,0,0,0,10066274,0
TN,1996,57179604260081,0,11466983678467,25000214829,22924239,60037517587,0,92122368,0
TX,1996,1358491081911860,0,9598420,1480330164408854,35766550,827321281631,260,328948933,82572
